,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2018-11-30,5832.503,5834.444,5108.072,5141.223,SP8888.XSGE,2018,11,48,-4,-1,,,,,,,,,,,,,,,,,,2018-10,5.7,9.1,3.7,3.1,6.8,7.4,8.1,10.5,-13.1,-8.7,0.7,-9.8,-9.2,-0.4,3.3,3.9,2018.0,10.0,-0.0030455788437887543,,,,,,0.5,1,-0.0030455788437887543,-0.0030455788437887543,-0.0030455788437887543
1,1,2018-12-07,5150.635,5257.15,4966.496,5125.565,SP8888.XSGE,2018,12,49,-3,0,,,,,,,,,,,,,,,,,,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,-0.0018922791926352378,-0.0030455788437887543,,,,,0.03566126,1,-0.0018922791926352378,-0.004937858036423992,-0.004937858036423992
2,2,2018-12-14,5136.556,5206.943,5063.677,5115.866,SP8888.XSGE,2018,12,50,-2,0,,,,,,,,,,,,,,,,,,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,-0.016347183448510938,-0.0018922791926352378,-0.0030455788437887543,,,,0.013487952,1,-0.016347183448510938,-0.02128504148493493,-0.02128504148493493
3,3,2018-12-21,5095.373,5143.141,5014.049,5032.236,SP8888.XSGE,2018,12,51,-1,0,,,,,,,,,,,,,,,,,,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,-0.001026183986601481,-0.016347183448510938,-0.0018922791926352378,-0.0030455788437887543,,,0.0031893142,1,-0.001026183986601481,-0.02231122547153641,-0.02231122547153641
4,4,2018-12-28,5024.536,5048.033,4901.221,5027.072,SP8888.XSGE,2018,12,52,0,0,,,,,,,,,,,,,,,,,,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,0.019132409482100154,-0.001026183986601481,-0.016347183448510938,-0.0018922791926352378,-0.0030455788437887543,,0.003848797,1,0.019132409482100154,-0.0031788159894362567,-0.0031788159894362567
5,5,2019-01-04,5020.865,5217.071,4988.954,5123.252,SP8888.XSGE,2019,1,1,1,1,,,,,,,,,,,,,,,,,,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.03675907411932888,0.019132409482100154,-0.001026183986601481,-0.016347183448510938,-0.0018922791926352378,-0.0030455788437887543,0.024206059,1,0.03675907411932888,0.033580258129892626,0.033580258129892626
6,6,2019-01-11,5135.815,5349.451,5098.582,5311.578,SP8888.XSGE,2019,1,2,2,1,2019-01-03,69.39,52.2,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,69.39,-1.0,-5.1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.010717907183138253,0.03675907411932888,0.019132409482100154,-0.001026183986601481,-0.016347183448510938,-0.0018922791926352378,0.041683704,1,0.010717907183138253,0.04429816531303088,0.04429816531303088
7,7,2019-01-18,5308.186,5406.277,5201.65,5368.507,SP8888.XSGE,2019,1,3,3,1,2019-01-10,72.8,53.36,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,72.8,-1.0,-5.1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.006142489895235359,0.010717907183138253,0.03675907411932888,0.019132409482100154,-0.001026183986601481,-0.016347183448510938,0.03384334,1,0.006142489895235359,0.05044065520826624,0.05044065520826624
8,8,2019-01-25,5374.158,5519.251,5349.273,5401.483,SP8888.XSGE,2019,1,4,4,1,2019-01-17,75.34,53.64,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,75.34,-1.0,-5.1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.010394923023917757,0.006142489895235359,0.010717907183138253,0.03675907411932888,0.019132409482100154,-0.001026183986601481,0.023078699,1,0.010394923023917757,0.060835578232183996,0.060835578232183996
9,9,2019-02-01,5395.737,5523.949,5269.779,5457.631,SP8888.XSGE,2019,2,5,5,2,2019-01-24,75.54,54.0,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,75.54,-1.0,-5.1,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,-0.01390475098078281,0.010394923023917757,0.006142489895235359,0.010717907183138253,0.03675907411932888,0.019132409482100154,0.019041289,1,-0.01390475098078281,0.046930827251401186,0.046930827251401186
