,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2006-12-22,8531.779,9019.323,8515.58,8881.347,TA8888.XZCE,2006,12,51,-625,-144,,,,,,,,,,,,,,,,,,2006-11,26.6,30.1,21.3,19.3,20.6,22.2,18.8,22.0,28.7,10.5,13.9,16.5,27.8,26.1,2.78,3.0,2006.0,11.0,-0.003362102617992635,,,,,,0.5,1,-0.003362102617992635,-0.003362102617992635,-0.003362102617992635
1,1,2006-12-29,8886.576,9122.125,8733.734,8851.487,TA8888.XZCE,2006,12,52,-624,-144,,,,,,,,,,,,,,,,,,2006-11,26.6,30.1,21.3,19.3,20.6,22.2,18.8,22.0,28.7,10.5,13.9,16.5,27.8,26.1,2.78,3.0,2006.0,11.0,-0.01039825285853091,-0.003362102617992635,,,,,0.03536908,1,-0.01039825285853091,-0.013760355476523545,-0.013760355476523545
2,2,2007-01-05,8622.433,8783.669,8496.308,8759.447,TA8888.XZCE,2007,1,1,-623,-143,,,,,,,,,,,,,,,,,,2006-12,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,23.5,11.3,14.7,19.2,19.0,26.0,3.1,3.0,2006.0,12.0,-0.010886303667343444,-0.01039825285853091,-0.003362102617992635,,,,0.00921679,1,-0.010886303667343444,-0.02464665914386699,-0.02464665914386699
3,3,2007-01-12,8784.736,8817.668,8643.042,8664.089,TA8888.XZCE,2007,1,2,-622,-143,,,,,,,,,,,,,,,,,,2006-12,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,23.5,11.3,14.7,19.2,19.0,26.0,3.1,3.0,2006.0,12.0,-0.03710488200202,-0.010886303667343444,-0.01039825285853091,-0.003362102617992635,,,0.0020915011,1,-0.03710488200202,-0.06175154114588699,-0.06175154114588699
4,4,2007-01-19,8725.464,8766.668,8246.786,8342.609,TA8888.XZCE,2007,1,3,-621,-143,,,,,,,,,,,,,,,,,,2006-12,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,23.5,11.3,14.7,19.2,19.0,26.0,3.1,3.0,2006.0,12.0,-0.008123238186039883,-0.03710488200202,-0.010886303667343444,-0.01039825285853091,-0.003362102617992635,,-0.012087608,-1,0.008123238186039883,-0.05362830295984711,-0.06987477933192687
5,5,2007-01-26,8352.67,8372.115,8050.384,8274.84,TA8888.XZCE,2007,1,4,-620,-143,,,,,,,,,,,,,,,,,,2006-12,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,23.5,11.3,14.7,19.2,19.0,26.0,3.1,3.0,2006.0,12.0,-0.009571665434014442,-0.008123238186039883,-0.03710488200202,-0.010886303667343444,-0.01039825285853091,-0.003362102617992635,-0.004439256,-1,0.009571665434014442,-0.044056637525832665,-0.07944644476594132
6,6,2007-02-02,8300.199,8332.636,8128.619,8195.636,TA8888.XZCE,2007,2,5,-619,-142,,,,,,,,,,,,,,,,,,2007-01,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,54.9,54.9,32.1,32.1,39.6,39.6,3.3,3.3,2007.0,1.0,0.012660640370069975,-0.009571665434014442,-0.008123238186039883,-0.03710488200202,-0.010886303667343444,-0.01039825285853091,-0.01159665,-1,-0.012660640370069975,-0.05671727789590264,-0.06678580439587134
7,7,2007-02-09,8243.496,8377.57,8154.873,8299.398,TA8888.XZCE,2007,2,6,-618,-142,,,,,,,,,,,,,,,,,,2007-01,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,54.9,54.9,32.1,32.1,39.6,39.6,3.3,3.3,2007.0,1.0,0.014879392457139762,0.012660640370069975,-0.009571665434014442,-0.008123238186039883,-0.03710488200202,-0.010886303667343444,0.0058482597,1,0.014879392457139762,-0.04183788543876288,-0.05190641193873158
8,8,2007-02-16,8287.345,8455.405,8275.098,8422.888,TA8888.XZCE,2007,2,7,-617,-142,,,,,,,,,,,,,,,,,,2007-01,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,54.9,54.9,32.1,32.1,39.6,39.6,3.3,3.3,2007.0,1.0,0.010432763679156132,0.014879392457139762,0.012660640370069975,-0.009571665434014442,-0.008123238186039883,-0.03710488200202,0.019199716,1,0.010432763679156132,-0.03140512175960675,-0.041473648259575446
9,9,2007-03-02,8487.297,8529.826,8323.489,8510.762,TA8888.XZCE,2007,3,9,-615,-141,,,,,,,,,,,,,,,,,,2007-02,23.4,26.4,23.5,16.3,15.4,24.2,15.9,23.0,12.2,31.7,12.3,-4.8,3.8,21.5,2.6,3.0,2007.0,2.0,-0.009545678753559272,0.010432763679156132,0.014879392457139762,0.012660640370069975,-0.009571665434014442,-0.008123238186039883,0.028132638,1,-0.009545678753559272,-0.04095080051316602,-0.05101932701313472
