,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-09-27,525.505,552.672,524.143,549.061,TC8888.XZCE,2013,9,39,-273,-63,,,,,,,,,,,,,,,,,,2013-08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,7.58,7.09,-5.45,0.13,14.58,15.11,-1.62,-2.16,2013,8,0.014921839285616745,,,,,,0.5,1,0.014921839285616745,0.014921839285616745,0.014921839285616745
1,1,2013-09-30,547.828,557.991,544.693,557.254,TC8888.XZCE,2013,9,40,-272,-63,,,,,,,,,,,,,,,,,,2013-08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,7.58,7.09,-5.45,0.13,14.58,15.11,-1.62,-2.16,2013,8,-0.013405018178424988,0.014921839285616745,,,,,0.05224617,1,-0.013405018178424988,0.001516821107191757,0.001516821107191757
2,2,2013-10-11,556.833,556.886,540.731,549.784,TC8888.XZCE,2013,10,41,-271,-62,,,,,,,,,,,,,,,,,,2013-09,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,0.86,6.41,-9.36,-20.0,17.45,15.32,-1.34,-2.07,2013,9,0.02795097711101091,-0.013405018178424988,0.014921839285616745,,,,0.022141155,1,0.02795097711101091,0.029467798218202668,0.029467798218202668
3,3,2013-10-18,550.566,570.11,549.89,565.151,TC8888.XZCE,2013,10,42,-270,-62,,,,,,,,,,,,,,,,,,2013-09,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,0.86,6.41,-9.36,-20.0,17.45,15.32,-1.34,-2.07,2013,9,-0.011354487561731186,0.02795097711101091,-0.013405018178424988,0.014921839285616745,,,0.012937908,1,-0.011354487561731186,0.018113310656471482,0.018113310656471482
4,4,2013-10-25,566.23,568.444,554.999,558.734,TC8888.XZCE,2013,10,43,-269,-62,,,,,,,,,,,,,,,,,,2013-09,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,0.86,6.41,-9.36,-20.0,17.45,15.32,-1.34,-2.07,2013,9,0.008234687704703925,-0.011354487561731186,0.02795097711101091,-0.013405018178424988,0.014921839285616745,,0.033191368,1,0.008234687704703925,0.026347998361175407,0.026347998361175407
5,5,2013-11-01,560.048,565.197,556.465,563.335,TC8888.XZCE,2013,11,44,-268,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013,10,-0.01163783539101959,0.008234687704703925,-0.011354487561731186,0.02795097711101091,-0.013405018178424988,0.014921839285616745,0.014824013,1,-0.01163783539101959,0.014710162970155816,0.014710162970155816
6,6,2013-11-08,563.328,565.429,552.861,556.779,TC8888.XZCE,2013,11,45,-267,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013,10,0.011950881768170163,-0.01163783539101959,0.008234687704703925,-0.011354487561731186,0.02795097711101091,-0.013405018178424988,0.01311585,1,0.011950881768170163,0.02666104473832598,0.02666104473832598
7,7,2013-11-15,557.726,565.287,555.388,563.433,TC8888.XZCE,2013,11,46,-266,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013,10,0.040707590787192105,0.011950881768170163,-0.01163783539101959,0.008234687704703925,-0.011354487561731186,0.02795097711101091,0.011104922,1,0.040707590787192105,0.06736863552551808,0.06736863552551808
8,8,2013-11-22,564.341,588.39,564.196,586.369,TC8888.XZCE,2013,11,47,-265,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013,10,0.015372572560964137,0.040707590787192105,0.011950881768170163,-0.01163783539101959,0.008234687704703925,-0.011354487561731186,0.04627892,1,0.015372572560964137,0.08274120808648222,0.08274120808648222
9,9,2013-11-29,588.801,597.422,587.875,595.383,TC8888.XZCE,2013,11,48,-264,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013,10,0.001187470922078715,0.015372572560964137,0.040707590787192105,0.011950881768170163,-0.01163783539101959,0.008234687704703925,0.028167767,1,0.001187470922078715,0.08392867900856094,0.08392867900856094
