,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-04-28,96.084,96.584,96.067,96.424,TL8888.CCFX,2023,4,17,225,52,2023-04-20,92.94,62.1,,,,,1533773.0,795304.0,,,,,,92.94,,,2023-03,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023.0,3.0,0.00841076910312788,,,,,,0.5,1,0.00841076910312788,0.00841076910312788,0.00841076910312788
1,1,2023-05-05,96.663,97.349,96.638,97.235,TL8888.CCFX,2023,5,18,226,53,2023-04-27,94.36,63.05,1054.2,10.8,263.7,6.5,1592596.0,855559.0,,949.676165,2.480317,17.067674,8.837661,94.36,4.0,-0.6,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0,-0.0013472515040879873,0.00841076910312788,,,,,0.046236094,1,-0.0013472515040879873,0.007063517599039892,0.007063517599039892
2,2,2023-05-12,97.117,97.469,96.837,97.104,TL8888.CCFX,2023,5,19,227,53,2023-05-04,93.54,62.5,1054.2,10.8,263.7,6.5,1558062.0,844383.0,,949.676165,2.480317,17.067674,8.837661,93.54,4.0,-0.6,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0,-0.0008135607184049931,-0.0013472515040879873,0.00841076910312788,,,,0.019298078,1,-0.0008135607184049931,0.006249956880634899,0.006249956880634899
3,3,2023-05-19,97.003,97.135,96.665,97.025,TL8888.CCFX,2023,5,20,228,53,2023-05-11,91.19,60.93,1054.2,10.8,263.7,6.5,1626151.0,886851.0,,949.676165,2.480317,17.067674,8.837661,91.19,4.0,-0.6,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0,-0.0019067250708580952,-0.0008135607184049931,-0.0013472515040879873,0.00841076910312788,,,0.012061562,1,-0.0019067250708580952,0.004343231809776804,0.004343231809776804
4,4,2023-05-26,96.99,97.257,96.777,96.84,TL8888.CCFX,2023,5,21,229,53,2023-05-18,87.33,58.73,1054.2,10.8,263.7,6.5,1993479.0,1060265.0,,949.676165,2.480317,17.067674,8.837661,87.33,4.0,-0.6,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0,-0.0019103676166873917,-0.0019067250708580952,-0.0008135607184049931,-0.0013472515040879873,0.00841076910312788,,0.008812089,1,-0.0019103676166873917,0.0024328641930894124,0.0024328641930894124
5,5,2023-06-02,96.728,97.2,96.587,96.655,TL8888.CCFX,2023,6,22,230,54,2023-05-25,89.22,59.99,1054.2,10.8,263.7,6.5,2462101.0,1311473.0,,949.676165,2.480317,17.067674,8.837661,89.22,4.0,-0.6,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,0.008473436449226712,-0.0019103676166873917,-0.0019067250708580952,-0.0008135607184049931,-0.0013472515040879873,0.00841076910312788,0.0086281905,1,0.008473436449226712,0.010906300642316125,0.010906300642316125
6,6,2023-06-09,96.758,97.6,96.702,97.474,TL8888.CCFX,2023,6,23,231,54,2023-06-01,90.14,60.62,1313.9,7.0,263.1,1.6,2584891.0,1219253.0,,1519.458005,117.220553,-13.928978,-5.474064,90.14,2.3,-4.7,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,-0.0014362804440158916,0.008473436449226712,-0.0019103676166873917,-0.0019067250708580952,-0.0008135607184049931,-0.0013472515040879873,0.011395722,1,-0.0014362804440158916,0.009470020198300233,0.009470020198300233
7,7,2023-06-16,97.51,98.486,97.086,97.334,TL8888.CCFX,2023,6,24,232,54,2023-06-08,89.6,60.25,1313.9,7.0,263.1,1.6,2663043.0,1129130.0,,1519.458005,117.220553,-13.928978,-5.474064,89.6,2.3,-4.7,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,0.0011095814412229732,-0.0014362804440158916,0.008473436449226712,-0.0019103676166873917,-0.0019067250708580952,-0.0008135607184049931,0.011561678,1,0.0011095814412229732,0.010579601639523206,0.010579601639523206
8,8,2023-06-21,97.32,97.53,96.904,97.442,TL8888.CCFX,2023,6,25,233,54,2023-06-15,90.05,60.55,1313.9,7.0,263.1,1.6,2907864.0,1213395.0,,1519.458005,117.220553,-13.928978,-5.474064,90.05,2.3,-4.7,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,0.006054883930953769,0.0011095814412229732,-0.0014362804440158916,0.008473436449226712,-0.0019103676166873917,-0.0019067250708580952,0.0128009375,1,0.006054883930953769,0.016634485570476976,0.016634485570476976
9,9,2023-06-30,97.543,98.041,97.359,98.032,TL8888.CCFX,2023,6,26,234,54,2023-06-22,91.34,61.03,1313.9,7.0,263.1,1.6,2871697.0,1134062.0,,1519.458005,117.220553,-13.928978,-5.474064,91.34,2.3,-4.7,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,5.100375387634415e-05,0.006054883930953769,0.0011095814412229732,-0.0014362804440158916,0.008473436449226712,-0.0019103676166873917,0.012011109,1,5.100375387634415e-05,0.01668548932435332,0.01668548932435332
