,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2009-05-27,6587.184,6619.265,6437.827,6508.095,V8888.XDCE,2009,5,22,-498,-115,,,,,,,,,,,,,,,,,,2009-04,30.5,29.0,5.8,7.5,7.1,6.4,13.6,11.8,48.5,30.3,-20.5,-21.0,17.9,7.6,-6.6,-5.1,2009.0,4.0,0.029465918982436445,,,,,,0.5,1,0.029465918982436445,0.029465918982436445,0.029465918982436445
1,1,2009-06-05,6562.841,6743.748,6526.382,6699.862,V8888.XDCE,2009,6,23,-497,-114,,,,,,,,,,,,,,,,,,2009-05,32.9,29.9,6.2,7.0,9.3,7.2,14.8,12.4,2.6,23.9,-21.1,-22.7,29.0,12.0,-7.2,-5.5,2009.0,5.0,0.02267807904103103,0.029465918982436445,,,,,0.06567115,1,0.02267807904103103,0.052143998023467475,0.052143998023467475
2,2,2009-06-12,6725.117,7132.971,6643.785,6851.802,V8888.XDCE,2009,6,24,-496,-114,,,,,,,,,,,,,,,,,,2009-05,32.9,29.9,6.2,7.0,9.3,7.2,14.8,12.4,2.6,23.9,-21.1,-22.7,29.0,12.0,-7.2,-5.5,2009.0,5.0,0.011422980407197914,0.02267807904103103,0.029465918982436445,,,,0.041122507,1,0.011422980407197914,0.06356697843066539,0.06356697843066539
3,3,2009-06-19,6841.39,7086.453,6784.978,6930.07,V8888.XDCE,2009,6,25,-495,-114,,,,,,,,,,,,,,,,,,2009-05,32.9,29.9,6.2,7.0,9.3,7.2,14.8,12.4,2.6,23.9,-21.1,-22.7,29.0,12.0,-7.2,-5.5,2009.0,5.0,-0.004035889969365436,0.011422980407197914,0.02267807904103103,0.029465918982436445,,,0.030137658,1,-0.004035889969365436,0.05953108846129995,0.05953108846129995
4,4,2009-06-26,6875.875,6947.319,6730.128,6902.101,V8888.XDCE,2009,6,26,-494,-114,,,,,,,,,,,,,,,,,,2009-05,32.9,29.9,6.2,7.0,9.3,7.2,14.8,12.4,2.6,23.9,-21.1,-22.7,29.0,12.0,-7.2,-5.5,2009.0,5.0,-0.0018052474166924126,-0.004035889969365436,0.011422980407197914,0.02267807904103103,0.029465918982436445,,0.017848304,1,-0.0018052474166924126,0.05772584104460754,0.05772584104460754
5,5,2009-07-03,6881.017,6937.923,6798.332,6889.641,V8888.XDCE,2009,7,27,-493,-113,,,,,,,,,,,,,,,,,,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009.0,6.0,0.0020928521529641753,-0.0018052474166924126,-0.004035889969365436,0.011422980407197914,0.02267807904103103,0.029465918982436445,0.010896482,1,0.0020928521529641753,0.059818693197571715,0.059818693197571715
6,6,2009-07-10,6891.52,6999.99,6846.748,6904.06,V8888.XDCE,2009,7,28,-492,-113,,,,,,,,,,,,,,,,,,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009.0,6.0,0.01519308928369667,0.0020928521529641753,-0.0018052474166924126,-0.004035889969365436,0.011422980407197914,0.02267807904103103,0.008916345,1,0.01519308928369667,0.07501178248126839,0.07501178248126839
7,7,2009-07-17,6916.625,7033.987,6850.933,7008.954,V8888.XDCE,2009,7,29,-491,-113,,,,,,,,,,,,,,,,,,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009.0,6.0,-0.006629519896977465,0.01519308928369667,0.0020928521529641753,-0.0018052474166924126,-0.004035889969365436,0.011422980407197914,0.019677944,1,-0.006629519896977465,0.06838226258429092,0.06838226258429092
8,8,2009-07-24,7045.259,7089.647,6897.186,6962.488,V8888.XDCE,2009,7,30,-490,-113,,,,,,,,,,,,,,,,,,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009.0,6.0,0.0939045065499573,-0.006629519896977465,0.01519308928369667,0.0020928521529641753,-0.0018052474166924126,-0.004035889969365436,0.013620532,1,0.0939045065499573,0.16228676913424822,0.16228676913424822
9,9,2009-07-31,6979.514,7697.303,6971.962,7616.297,V8888.XDCE,2009,7,31,-489,-113,,,,,,,,,,,,,,,,,,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009.0,6.0,-0.00890852864587599,0.0939045065499573,-0.006629519896977465,0.01519308928369667,0.0020928521529641753,-0.0018052474166924126,0.020137403,1,-0.00890852864587599,0.15337824048837223,0.15337824048837223
