,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-07-27,2580.0,2602.0,2580.0,2600.0,WH8888.XZCE,2012,7,30,-334,-77,,,,,,,,,,,,,,,,,,2012-06,20.4,24.55,11.2,11.6,6.5,8.0,9.6,10.0,4.5,2.7,-9.0,-17.8,13.8,6.7,-2.08,-0.63,2012.0,6.0,-0.0038461538461538325,,,,,,0.5,1,-0.0038461538461538325,-0.0038461538461538325,-0.0038461538461538325
1,1,2012-08-03,2630.0,2666.0,2590.0,2590.0,WH8888.XZCE,2012,8,31,-333,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.0,-0.0038461538461538325,,,,,0.034922272,1,0.0,-0.0038461538461538325,-0.0038461538461538325
2,2,2012-08-10,2590.0,2590.0,2590.0,2590.0,WH8888.XZCE,2012,8,32,-332,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.007722007722007707,0.0,-0.0038461538461538325,,,,0.014016471,1,0.007722007722007707,0.003875853875853874,0.003875853875853874
3,3,2012-08-17,2600.0,2610.0,2580.0,2610.0,WH8888.XZCE,2012,8,33,-331,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.003831417624521105,0.007722007722007707,0.0,-0.0038461538461538325,,,0.012013576,1,0.003831417624521105,0.007707271500374979,0.007707271500374979
4,4,2012-08-24,2620.0,2667.0,2610.0,2620.0,WH8888.XZCE,2012,8,34,-330,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.005725190839694694,0.003831417624521105,0.007722007722007707,0.0,-0.0038461538461538325,,0.013913477,1,0.005725190839694694,0.013432462340069673,0.013432462340069673
5,5,2012-08-31,2638.0,2644.0,2610.0,2635.0,WH8888.XZCE,2012,8,35,-329,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,-0.004554079696394653,0.005725190839694694,0.003831417624521105,0.007722007722007707,0.0,-0.0038461538461538325,0.015783167,1,-0.004554079696394653,0.00887838264367502,0.00887838264367502
6,6,2012-09-07,2630.0,2636.0,2605.0,2623.0,WH8888.XZCE,2012,9,36,-328,-75,,,,,,,,,,,,,,,,,,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,0.013724742661075151,-0.004554079696394653,0.005725190839694694,0.003831417624521105,0.007722007722007707,0.0,0.011774126,1,0.013724742661075151,0.02260312530475017,0.02260312530475017
7,7,2012-09-14,2621.0,2663.0,2621.0,2659.0,WH8888.XZCE,2012,9,37,-327,-75,,,,,,,,,,,,,,,,,,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,-0.0067694622038360075,0.013724742661075151,-0.004554079696394653,0.005725190839694694,0.003831417624521105,0.007722007722007707,0.014183039,1,-0.0067694622038360075,0.015833663100914164,0.015833663100914164
8,8,2012-09-21,2646.0,2667.0,2631.0,2641.0,WH8888.XZCE,2012,9,38,-326,-75,,,,,,,,,,,,,,,,,,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,-0.02940477092010596,-0.0067694622038360075,0.013724742661075151,-0.004554079696394653,0.005725190839694694,0.003831417624521105,0.01857104,1,-0.02940477092010596,-0.013571107819191797,-0.013571107819191797
9,9,2012-09-28,2618.088,2637.484,2559.415,2563.342,WH8888.XZCE,2012,9,39,-325,-75,,,,,,,,,,,,,,,,,,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,0.02226858530777398,-0.02940477092010596,-0.0067694622038360075,0.013724742661075151,-0.004554079696394653,0.005725190839694694,-0.0028417315,-1,-0.02226858530777398,-0.03583969312696578,0.008697477488582184
10,10,2012-10-12,2578.642,2621.691,2570.807,2620.424,WH8888.XZCE,2012,10,41,-323,-74,,,,,,,,,,,,,,,,,,2012-09,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,-4.9,4.5,-16.6,-12.6,6.3,7.3,-3.55,-1.53,2012.0,9.0,0.0021492704997359002,0.02226858530777398,-0.02940477092010596,-0.0067694622038360075,0.013724742661075151,-0.004554079696394653,0.003683751,1,0.0021492704997359002,-0.03369042262722988,0.010846747988318084
