,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,1641.065,1680.603,1622.429,1671.243,WS8888.XZCE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,0.013012470358888528,,,,,,0.5,1,0.013012470358888528,0.013012470358888528,0.013012470358888528
1,1,2005-01-14,1671.566,1701.208,1660.505,1692.99,WS8888.XZCE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,-0.010749029822975986,0.013012470358888528,,,,,0.050483707,1,-0.010749029822975986,0.002263440535912542,0.002263440535912542
2,2,2005-01-21,1686.282,1699.371,1668.346,1674.792,WS8888.XZCE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,-0.02084796201558159,-0.010749029822975986,0.013012470358888528,,,,0.019532701,1,-0.02084796201558159,-0.018584521479669047,-0.018584521479669047
3,3,2005-01-28,1673.863,1680.38,1636.945,1639.876,WS8888.XZCE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,-0.0039454202634833235,-0.02084796201558159,-0.010749029822975986,0.013012470358888528,,,-0.00040078728,-1,0.0039454202634833235,-0.014639101216185724,-0.02252994174315237
4,4,2005-02-04,1640.997,1655.396,1619.087,1633.406,WS8888.XZCE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,-0.006687865723524977,-0.0039454202634833235,-0.02084796201558159,-0.010749029822975986,0.013012470358888528,,-0.0019293143,-1,0.006687865723524977,-0.007951235492660746,-0.029217807466677348
5,5,2005-02-18,1645.588,1647.484,1612.674,1622.482,WS8888.XZCE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,0.02585421594815851,-0.006687865723524977,-0.0039454202634833235,-0.02084796201558159,-0.010749029822975986,0.013012470358888528,0.010730672,1,0.02585421594815851,0.017902980455497763,-0.003363591518518838
6,6,2005-02-25,1620.638,1695.636,1617.368,1664.43,WS8888.XZCE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,0.004265724602416476,0.02585421594815851,-0.006687865723524977,-0.0039454202634833235,-0.02084796201558159,-0.010749029822975986,0.022049826,1,0.004265724602416476,0.02216870505791424,0.0009021330838976382
7,7,2005-03-04,1690.096,1729.397,1664.222,1671.53,WS8888.XZCE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,0.02373992689332538,0.004265724602416476,0.02585421594815851,-0.006687865723524977,-0.0039454202634833235,-0.02084796201558159,0.032067545,1,0.02373992689332538,0.04590863195123962,0.02464205997722302
8,8,2005-03-11,1676.86,1735.605,1666.496,1711.212,WS8888.XZCE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,0.016809723166971713,0.02373992689332538,0.004265724602416476,0.02585421594815851,-0.006687865723524977,-0.0039454202634833235,0.026027724,1,0.016809723166971713,0.06271835511821133,0.04145178314419473
9,9,2005-03-18,1731.337,1794.832,1713.426,1739.977,WS8888.XZCE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,-0.005925940400361651,0.016809723166971713,0.02373992689332538,0.004265724602416476,0.02585421594815851,-0.006687865723524977,0.023934212,1,-0.005925940400361651,0.05679241471784968,0.03552584274383308
