,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,1564.43,1597.043,1550.508,1579.977,WT8888.XZCE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,0.006257686029606635,,,,,,0.5,1,0.006257686029606635,0.006257686029606635,0.006257686029606635
1,1,2005-01-14,1581.36,1595.71,1571.36,1589.864,WT8888.XZCE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,-0.012892297705967337,0.006257686029606635,,,,,0.044248678,1,-0.012892297705967337,-0.006634611676360702,-0.006634611676360702
2,2,2005-01-21,1581.997,1589.217,1565.201,1569.367,WT8888.XZCE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,-0.017308252308096184,-0.012892297705967337,0.006257686029606635,,,,0.012666517,1,-0.017308252308096184,-0.023942863984456886,-0.023942863984456886
3,3,2005-01-28,1568.813,1574.561,1530.596,1542.204,WT8888.XZCE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,0.0021333105088561233,-0.017308252308096184,-0.012892297705967337,0.006257686029606635,,,-0.00028230983,-1,-0.0021333105088561233,-0.02607617449331301,-0.021809553475600763
4,4,2005-02-04,1541.662,1563.001,1539.136,1545.494,WT8888.XZCE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,-0.0073795174876123415,0.0021333105088561233,-0.017308252308096184,-0.012892297705967337,0.006257686029606635,,-0.00070114224,-1,0.0073795174876123415,-0.018696657005700668,-0.029189070963213104
5,5,2005-02-18,1552.31,1558.779,1527.403,1534.089,WT8888.XZCE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,0.014131513882180258,-0.0073795174876123415,0.0021333105088561233,-0.017308252308096184,-0.012892297705967337,0.006257686029606635,0.013338675,1,0.014131513882180258,-0.00456514312352041,-0.015057557081032846
6,6,2005-02-25,1533.96,1595.622,1532.963,1555.768,WT8888.XZCE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,-0.004579088912999851,0.014131513882180258,-0.0073795174876123415,0.0021333105088561233,-0.017308252308096184,-0.012892297705967337,0.01866689,1,-0.004579088912999851,-0.009144232036520261,-0.019636645994032698
7,7,2005-03-04,1575.344,1596.385,1541.4,1548.644,WT8888.XZCE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,0.012198413579880274,-0.004579088912999851,0.014131513882180258,-0.0073795174876123415,0.0021333105088561233,-0.017308252308096184,0.020503012,1,0.012198413579880274,0.003054181543360013,-0.007438232414152424
8,8,2005-03-11,1550.088,1575.999,1546.002,1567.535,WT8888.XZCE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,-0.0017084148041351943,0.012198413579880274,-0.004579088912999851,0.014131513882180258,-0.0073795174876123415,0.0021333105088561233,0.016525745,1,-0.0017084148041351943,0.0013457667392248185,-0.009146647218287618
9,9,2005-03-18,1578.294,1612.025,1557.316,1564.857,WT8888.XZCE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,-0.009075589654517935,-0.0017084148041351943,0.012198413579880274,-0.004579088912999851,0.014131513882180258,-0.0073795174876123415,0.017243907,1,-0.009075589654517935,-0.007729822915293116,-0.018222236872805553
10,10,2005-03-25,1560.516,1569.543,1533.002,1550.655,WT8888.XZCE,2005,3,12,-716,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,0.010941827808248927,-0.009075589654517935,-0.0017084148041351943,0.012198413579880274,-0.004579088912999851,0.014131513882180258,0.017046543,1,0.010941827808248927,0.003212004892955811,-0.0072804090645566255
11,11,2005-04-01,1565.521,1574.308,1536.042,1567.622,WT8888.XZCE,2005,4,13,-715,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005,3,-0.019572958276931507,0.010941827808248927,-0.009075589654517935,-0.0017084148041351943,0.012198413579880274,-0.004579088912999851,0.008749568,1,-0.019572958276931507,-0.016360953383975696,-0.026853367341488132
12,12,2005-04-08,1559.401,1567.369,1534.9,1536.939,WT8888.XZCE,2005,4,14,-714,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005,3,-0.014702600428514012,-0.019572958276931507,0.010941827808248927,-0.009075589654517935,-0.0017084148041351943,0.012198413579880274,0.016169272,1,-0.014702600428514012,-0.031063553812489708,-0.041555967770002145
13,13,2005-04-15,1534.145,1541.44,1510.747,1514.342,WT8888.XZCE,2005,4,15,-713,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005,3,-0.002708767240161114,-0.014702600428514012,-0.019572958276931507,0.010941827808248927,-0.009075589654517935,-0.0017084148041351943,-0.0017902574,-1,0.002708767240161114,-0.028354786572328594,-0.04426473501016326
