,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2006-01-13,5298.346,5342.964,5008.149,5016.159,Y8888.XDCE,2006,1,2,-674,-155,,,,,,,,,,,,,,,,,,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,0.01321768309178406,,,,,,0.5,1,0.01321768309178406,0.01321768309178406,0.01321768309178406
1,1,2006-01-20,5038.108,5132.596,4989.467,5082.461,Y8888.XDCE,2006,1,3,-673,-155,,,,,,,,,,,,,,,,,,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,-0.008828793767428844,0.01321768309178406,,,,,0.050673127,1,-0.008828793767428844,0.004388889324355216,0.004388889324355216
2,2,2006-01-27,5116.122,5125.638,4998.793,5037.589,Y8888.XDCE,2006,1,4,-672,-155,,,,,,,,,,,,,,,,,,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,0.005446653150941838,-0.008828793767428844,0.01321768309178406,,,,0.019647637,1,0.005446653150941838,0.009835542475297054,0.009835542475297054
3,3,2006-02-10,5174.883,5219.197,4962.487,5065.027,Y8888.XDCE,2006,2,6,-670,-154,,,,,,,,,,,,,,,,,,2006-01,27.2,39.2,,,,,,,-6.6,-6.6,4.5,4.5,26.1,26.1,3.05,3.05,2006.0,1.0,0.013375249529765654,0.005446653150941838,-0.008828793767428844,0.01321768309178406,,,0.014241111,1,0.013375249529765654,0.023210792005062708,0.023210792005062708
4,4,2006-02-17,5064.675,5150.761,5034.93,5132.773,Y8888.XDCE,2006,2,7,-669,-154,,,,,,,,,,,,,,,,,,2006-01,27.2,39.2,,,,,,,-6.6,-6.6,4.5,4.5,26.1,26.1,3.05,3.05,2006.0,1.0,0.010079152146412751,0.013375249529765654,0.005446653150941838,-0.008828793767428844,0.01321768309178406,,0.024990568,1,0.010079152146412751,0.03328994415147546,0.03328994415147546
5,5,2006-02-24,5184.747,5217.437,5072.066,5184.507,Y8888.XDCE,2006,2,8,-668,-154,,,,,,,,,,,,,,,,,,2006-01,27.2,39.2,,,,,,,-6.6,-6.6,4.5,4.5,26.1,26.1,3.05,3.05,2006.0,1.0,0.020431643741632755,0.010079152146412751,0.013375249529765654,0.005446653150941838,-0.008828793767428844,0.01321768309178406,0.027233263,1,0.020431643741632755,0.053721587893108214,0.053721587893108214
6,6,2006-03-03,5166.488,5337.795,5122.327,5290.435,Y8888.XDCE,2006,3,9,-667,-153,,,,,,,,,,,,,,,,,,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,-0.01378979233276667,0.020431643741632755,0.010079152146412751,0.013375249529765654,0.005446653150941838,-0.008828793767428844,0.02502863,1,-0.01378979233276667,0.03993179556034154,0.03993179556034154
7,7,2006-03-10,5276.462,5289.707,5199.279,5217.481,Y8888.XDCE,2006,3,10,-666,-153,,,,,,,,,,,,,,,,,,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,-0.006145302685337972,-0.01378979233276667,0.020431643741632755,0.010079152146412751,0.013375249529765654,0.005446653150941838,0.025309343,1,-0.006145302685337972,0.03378649287500357,0.03378649287500357
8,8,2006-03-17,5226.804,5259.309,5173.621,5185.418,Y8888.XDCE,2006,3,11,-665,-153,,,,,,,,,,,,,,,,,,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,0.0008412050870345578,-0.006145302685337972,-0.01378979233276667,0.020431643741632755,0.010079152146412751,0.013375249529765654,0.005336988,1,0.0008412050870345578,0.03462769796203813,0.03462769796203813
9,9,2006-03-24,5204.91,5218.931,5155.224,5189.78,Y8888.XDCE,2006,3,12,-664,-153,,,,,,,,,,,,,,,,,,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,-0.005939750817953726,0.0008412050870345578,-0.006145302685337972,-0.01378979233276667,0.020431643741632755,0.010079152146412751,0.0057879905,1,-0.005939750817953726,0.028687947144084402,0.028687947144084402
