,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2015-05-22,440.0,446.8,434.8,441.4,ZC8888.XZCE,2015,5,21,-187,-43,,,,,,,,,,,,,,,,,,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,0.002718622564567452,,,,,,0.5,1,0.002718622564567452,0.002718622564567452,0.002718622564567452
1,1,2015-05-29,439.2,447.8,438.8,442.6,ZC8888.XZCE,2015,5,22,-186,-43,,,,,,,,,,,,,,,,,,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.009489380930863156,0.002718622564567452,,,,,0.040981915,1,-0.009489380930863156,-0.006770758366295704,-0.006770758366295704
2,2,2015-06-05,443.0,443.0,438.0,438.4,ZC8888.XZCE,2015,6,23,-185,-42,,,,,,,,,,,,,,,,,,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.023613138686131352,-0.009489380930863156,0.002718622564567452,,,,0.012600606,1,-0.023613138686131352,-0.030383897052427056,-0.030383897052427056
3,3,2015-06-12,438.0,440.023,428.048,428.048,ZC8888.XZCE,2015,6,24,-184,-42,,,,,,,,,,,,,,,,,,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.01693268044705265,-0.023613138686131352,-0.009489380930863156,0.002718622564567452,,,-0.0018956276,-1,0.01693268044705265,-0.013451216605374405,-0.047316577499479706
4,4,2015-06-19,429.985,430.582,414.4,420.8,ZC8888.XZCE,2015,6,25,-183,-42,,,,,,,,,,,,,,,,,,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.0019011406844107182,-0.01693268044705265,-0.023613138686131352,-0.009489380930863156,0.002718622564567452,,-0.006475703,-1,0.0019011406844107182,-0.011550075920963687,-0.049217718183890424
5,5,2015-06-26,420.6,428.0,419.0,420.0,ZC8888.XZCE,2015,6,26,-182,-42,,,,,,,,,,,,,,,,,,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.013809523809523827,-0.0019011406844107182,-0.01693268044705265,-0.023613138686131352,-0.009489380930863156,0.002718622564567452,0.003002032,1,-0.013809523809523827,-0.025359599730487514,-0.06302724199341425
6,6,2015-07-03,419.4,420.0,411.8,414.2,ZC8888.XZCE,2015,7,27,-181,-41,,,,,,,,,,,,,,,,,,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.050190729116368904,-0.013809523809523827,-0.0019011406844107182,-0.01693268044705265,-0.023613138686131352,-0.009489380930863156,-0.0013571628,-1,0.050190729116368904,0.02483112938588139,-0.11321797110978316
7,7,2015-07-10,413.2,413.4,370.299,393.411,ZC8888.XZCE,2015,7,28,-180,-41,,,,,,,,,,,,,,,,,,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.0025596640663326786,-0.050190729116368904,-0.013809523809523827,-0.0019011406844107182,-0.01693268044705265,-0.023613138686131352,0.0024689196,1,-0.0025596640663326786,0.02227146531954871,-0.11577763517611583
8,8,2015-07-17,394.997,396.79,381.849,392.404,ZC8888.XZCE,2015,7,29,-179,-41,,,,,,,,,,,,,,,,,,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.028995626955892306,-0.0025596640663326786,-0.050190729116368904,-0.013809523809523827,-0.0019011406844107182,-0.01693268044705265,-0.0058348393,-1,0.028995626955892306,0.05126709227544102,-0.14477326213200814
9,9,2015-07-24,389.215,392.803,379.035,381.026,ZC8888.XZCE,2015,7,30,-178,-41,,,,,,,,,,,,,,,,,,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.01056620808028852,-0.028995626955892306,-0.0025596640663326786,-0.050190729116368904,-0.013809523809523827,-0.0019011406844107182,-0.023643326,-1,0.01056620808028852,0.06183330035572954,-0.15533947021229666
10,10,2015-07-31,382.223,383.02,375.2,377.0,ZC8888.XZCE,2015,7,31,-177,-41,,,,,,,,,,,,,,,,,,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.012185676392572953,-0.01056620808028852,-0.028995626955892306,-0.0025596640663326786,-0.050190729116368904,-0.013809523809523827,-0.0056555956,-1,0.012185676392572953,0.07401897674830249,-0.1675251466048696
11,11,2015-08-07,378.4,378.6,370.607,372.406,ZC8888.XZCE,2015,8,32,-176,-40,,,,,,,,,,,,,,,,,,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,0.015714032534384526,-0.012185676392572953,-0.01056620808028852,-0.028995626955892306,-0.0025596640663326786,-0.050190729116368904,-0.005812046,-1,-0.015714032534384526,0.058304944213917964,-0.1518111140704851
12,12,2015-08-14,372.4,381.426,365.275,378.258,ZC8888.XZCE,2015,8,33,-175,-40,,,,,,,,,,,,,,,,,,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,-0.015841039713634486,0.015714032534384526,-0.012185676392572953,-0.01056620808028852,-0.028995626955892306,-0.0025596640663326786,0.02105616,1,-0.015841039713634486,0.04246390450028348,-0.16765215378411957
13,13,2015-08-21,378.06,378.257,371.475,372.266,ZC8888.XZCE,2015,8,34,-174,-40,,,,,,,,,,,,,,,,,,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,-0.0209984258567798,-0.015841039713634486,0.015714032534384526,-0.012185676392572953,-0.01056620808028852,-0.028995626955892306,0.02114402,1,-0.0209984258567798,0.021465478643503677,-0.18865057964089937
14,14,2015-08-28,372.803,373.002,358.494,364.449,ZC8888.XZCE,2015,8,35,-173,-40,,,,,,,,,,,,,,,,,,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,-0.004480736673718511,-0.0209984258567798,-0.015841039713634486,0.015714032534384526,-0.012185676392572953,-0.01056620808028852,0.0018101654,1,-0.004480736673718511,0.016984741969785166,-0.19313131631461788
15,15,2015-09-02,364.049,365.997,361.225,362.816,ZC8888.XZCE,2015,9,36,-172,-39,,,,,,,,,,,,,,,,,,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,0.006003042864702879,-0.004480736673718511,-0.0209984258567798,-0.015841039713634486,0.015714032534384526,-0.012185676392572953,-0.004238411,-1,-0.006003042864702879,0.010981699105082288,-0.187128273449915
16,16,2015-09-11,360.047,366.208,356.274,364.994,ZC8888.XZCE,2015,9,37,-171,-39,,,,,,,,,,,,,,,,,,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,-0.004860353868830769,0.006003042864702879,-0.004480736673718511,-0.0209984258567798,-0.015841039713634486,0.015714032534384526,0.011098365,1,-0.004860353868830769,0.006121345236251519,-0.19198862731874577
17,17,2015-09-18,364.98,365.975,361.439,363.22,ZC8888.XZCE,2015,9,38,-170,-39,,,,,,,,,,,,,,,,,,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,-0.015844391828643944,-0.004860353868830769,0.006003042864702879,-0.004480736673718511,-0.0209984258567798,-0.015841039713634486,0.0087712025,1,-0.015844391828643944,-0.009723046592392426,-0.20783301914738972
18,18,2015-09-25,362.799,363.015,357.451,357.465,ZC8888.XZCE,2015,9,39,-169,-39,,,,,,,,,,,,,,,,,,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,-0.029191669114458807,-0.015844391828643944,-0.004860353868830769,0.006003042864702879,-0.004480736673718511,-0.0209984258567798,0.003902766,1,-0.029191669114458807,-0.03891471570685123,-0.23702468826184853
19,19,2015-09-30,357.343,357.762,345.408,347.03,ZC8888.XZCE,2015,9,40,-168,-39,,,,,,,,,,,,,,,,,,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,0.00905109068380261,-0.029191669114458807,-0.015844391828643944,-0.004860353868830769,0.006003042864702879,-0.004480736673718511,-0.007878958,-1,-0.00905109068380261,-0.04796580639065384,-0.22797359757804592
20,20,2015-10-09,347.909,351.011,347.865,350.171,ZC8888.XZCE,2015,10,41,-167,-38,,,,,,,,,,,,,,,,,,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,-0.038398382504547746,0.00905109068380261,-0.029191669114458807,-0.015844391828643944,-0.004860353868830769,0.006003042864702879,-0.006795145,-1,0.038398382504547746,-0.009567423886106097,-0.26637198008259366
21,21,2015-10-16,349.719,350.099,336.224,336.725,ZC8888.XZCE,2015,10,42,-166,-38,,,,,,,,,,,,,,,,,,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,-0.017946395426534978,-0.038398382504547746,0.00905109068380261,-0.029191669114458807,-0.015844391828643944,-0.004860353868830769,0.0150897475,1,-0.017946395426534978,-0.027513819312641075,-0.28431837550912864
22,22,2015-10-23,336.064,337.949,328.725,330.682,ZC8888.XZCE,2015,10,43,-165,-38,,,,,,,,,,,,,,,,,,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,-0.04064025256893333,-0.017946395426534978,-0.038398382504547746,0.00905109068380261,-0.029191669114458807,-0.015844391828643944,-0.010585163,-1,0.04064025256893333,0.013126433256292258,-0.324958628078062
23,23,2015-10-30,330.186,330.684,317.071,317.243,ZC8888.XZCE,2015,10,44,-164,-38,,,,,,,,,,,,,,,,,,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,-0.03346645946482674,-0.04064025256893333,-0.017946395426534978,-0.038398382504547746,0.00905109068380261,-0.029191669114458807,-0.0123789925,-1,0.03346645946482674,0.046592892721118995,-0.3584250875428887
